"`project_id`","`commits_last_month`"
"63","29"
"127","7"
"310","5"
"312","24"
"340","45"
"418","9"
"489","9"
"613","12"
"657","8"
"687","28"
"714","40"
"750","92"
"772","9"
"774","2"
"807","13"
"847","26"
"853","24"
"860","16"
"937","33"
"961","33"
"1008","61"
"1113","15"
"1142","132"
"1282","4"
"1299","26"
"1301","6"
"1334","52"
"1523","4"
"1528","1"
"1678","8"
"1799","2"
"1958","2"
"1965","44"
"2093","9"
"2247","1"
"2281","51"
"2309","4"
"2532","3"
"2713","5"
"2719","13"
"2812","4"
"2863","13"
"3083","3"
"3450","4"
"3479","8"
"3594","4"
"3732","107"
"3923","68"
"4023","11"
"4068","19"
"4095","54"
"4563","6"
"4751","33"
"4765","12"
"4779","17"
"5125","3"
"5138","2"
"5210","76"
"5245","12"
"5400","8"
"5516","17"
"5520","205"
"5556","7"
"5591","8"
"5626","21"
"5640","4"
"6026","36"
"6413","42"
"6468","1"
"6584","16"
"6966","3"
"6994","3"
"7347","3"
"7511","19"
"7537","22"
"7588","8"
"7608","6"
"7640","1"
"7894","1"
"8127","3"
"8131","1"
"8381","16"
"8703","4"
"9095","16"
"9126","3"
"9241","24"
"9354","6"
"9427","42"
"9615","26"
"9793","17"
"9807","2"
"9840","2"
"10252","232"
"10269","31"
"10384","2"
"10412","2"
"10657","1"
"10667","1"
"11379","28"
"11602","5"
"11638","30"
"12031","3"
"12106","33"
"12132","6"
"12258","2"
"12333","14"
"12392","5"
"12455","8"
"12747","8"
"12841","16"
"12885","8"
"13001","22"
"13021","7"
"13116","5"
"13573","20"
"13718","1"
"13860","57"
"13915","4"
"14363","1"
"14398","4"
"14642","17"
"15806","1"
"15841","2"
"15985","23"
"16282","15"
"16640","1"
"16719","22"
"16948","38"
"17032","23"
"17042","3"
"17473","4"
"17635","11"
"17919","3"
"18159","1"
"18170","7"
"18217","24"
"18260","8"
"18460","2"
"19428","11"
"19443","1"
"19844","16"
"19849","3"
"20225","1"
"20429","35"
"20768","1"
"20786","26"
"20796","44"
"20849","19"
"21093","4"
"21276","9"
"21435","6"
"21530","2"
"21597","13"
"21703","36"
"22189","1"
"22616","3"
"22668","3"
"22841","10"
"23052","15"
"23623","5"
"23710","7"
"23903","3"
"24397","2"
"24423","3"
"24440","2"
"24741","10"
"25097","2"
"25156","33"
"25467","23"
"25590","4"
"25822","1"
"26591","22"
"26697","17"
"27142","5"
"27329","12"
"27716","3"
"27868","3"
"28021","1"
"28030","1"
"28304","2"
"28824","38"
"29465","91"
"30178","2"
"30491","18"
"31779","7"
"31845","3"
"32076","1"
"33145","6"
"33858","4"
"33958","7"
"34627","1"
"34756","2"
"34884","2"
"35349","9"
"35378","1"
"35649","2"
"35770","5"
"35846","116"
"37843","7"
"38823","1"
"38896","6"
"40080","25"
"40428","17"
"40833","24"
"40854","4"
"41127","52"
"41180","3"
"41728","18"
"42120","4"
"42335","8"
"42447","1"
"42734","34"
"42750","7"
"42812","10"
"42952","22"
"43173","1"
"43858","10"
"43875","21"
"44682","1"
"44967","5"
"45316","16"
"45348","1"
"45614","12"
"45658","32"
"46214","3"
"46754","11"
"46759","1"
"48024","2"
"48033","3"
"48485","39"
"48706","39"
"48764","10"
"48805","5"
"49649","1"
"49895","4"
"49956","8"
"50297","18"
"51151","1"
"51690","1"
"52612","4"
"53198","46"
"53565","1"
"54473","2"
"54544","2"
"54878","1"
"55068","43"
"55219","338"
"56043","10"
"56447","38"
"56551","61"
"58772","89"
"58827","6"
"58874","1"
"58896","22"
"59344","1"
"59350","8"
"59519","4"
"59803","2"
"59874","2"
"59903","2"
"60101","2"
"60686","7"
"60891","7"
"61494","5"
"61551","2"
"62373","24"
"62852","1"
"63401","1"
"64212","1"
"64317","4"
"65187","1"
"65288","3"
"65321","11"
"65747","2"
"66033","2"
"66175","1"
"67190","3"
"67315","1"
"67424","5"
"67522","8"
"67633","14"
"67640","10"
"67874","12"
"68102","22"
"68430","2"
"68506","5"
"68537","1"
"68610","11"
"68714","1"
"69299","6"
"69314","2"
"69357","2"
"69792","11"
"70387","2"
"70480","39"
"70783","6"
"71334","14"
"72578","2"
"73635","20"
"73747","1"
"74063","7"
"75274","3"
"75605","13"
"75619","27"
"75812","11"
"75832","1"
"78275","2"
"79429","2"
"81325","1"
"81423","1"
"84985","1"
"86192","1"
"86589","5"
"87535","1"
"88971","10"
"90432","4"
"91064","2"
"92010","40"
"92224","1"
"92535","23"
"94297","1"
"95180","3"
"95329","14"
"97464","1"
"102437","7"
"103508","11"
"103713","2"
"104378","3"
"104697","2"
"105576","1"
"105762","31"
"107349","2"
"107969","3"
"110030","1"
"111425","14"
"114990","1"
"116115","8"
"118301","13"
"120232","5"
"122473","19"
"123568","7"
"123745","6"
"123803","1"
"125032","4"
"125357","4"
"125696","1"
"126795","7"
"126912","3"
"128005","1"
"128620","1"
"128840","6"
"130401","3"
"132590","3"
"134537","2"
"134768","2"
"135818","2"
"136544","4"
"136944","2"
"138238","22"
"140309","1"
"140647","11"
"142225","3"
"143729","3"
"144429","8"
"145091","1"
"146799","2"
"146900","3"
"150631","1"
"152649","9"
"152921","2"
"153944","1"
"155751","5"
"156467","8"
"156699","1"
"158057","1"
"160501","3"
"160833","5"
"161254","6"
"162539","1"
"164170","24"
"165427","7"
"168861","2"
"169932","2"
"170419","1"
"172825","1"
"178035","1"
"185366","5"
"187196","2"
"190783","1"
"192534","2"
"195656","1"
"196147","1"
"197275","1"
"198021","3"
"202365","3"
"203460","1"
"204403","2"
"211549","4"
"213856","5"
"218083","3"
"218181","8"
"231370","2"
"232705","1"
"234674","4"
"253596","1"
"256086","23"
"270784","3"
"288440","37"
"289935","2"
"292891","9"
"295815","9"
"307422","6"
"307810","1"
"309466","6"
"309847","4"
"313109","2"
"324846","3"
"326632","31"
"329151","2"
"333400","2"
"333984","3"
"344679","2"
"352633","2"
"357450","3"
"359432","2"
"399532","1"
"401284","80"
"407274","17"
"414409","6"
"458061","8"
"483343","18"
"497205","5"
"513279","3"
"517631","2"
"530450","1"
"530921","4"
"546037","10"
"603513","3"
"614053","12"
"622343","1"
"643805","12"
"692866","4"
"696536","4"
"724980","9"
"777221","11"
"801441","6"
"811856","2"
"816585","1"
"824970","1"
"825924","11"
"899831","1"
"914064","4"
"919506","4"
"919977","4"
"930566","3"
"931243","26"
"956098","6"
"978319","4"
"978965","29"
"1021876","3"
"1028405","7"
"1042189","7"
"1292559","42"
"1344878","33"
"1347553","108"
"1350393","38"
"1358732","1"
"1361512","5"
"1366147","49"
"1366976","7"
"1381021","8"
"1393874","3"
"1397979","1"
"1403672","2"
"1420893","9"
"1426802","2"
"1433342","3"
"1448496","7"
"1451629","4"
"1470777","1"
"1503167","13"
"1504740","11"
"1533497","1"
"1545591","118"
"1611658","2"
"1639388","7"
"1711636","4"
"1756850","2"
"1803672","31"
"1880515","3"
"1880551","3"
"1912872","12"
"1922523","12"
"1931310","2"
"1967265","1"
"1989677","19"
"2264276","2"
"2291113","6"
"2294498","15"
"2367064","21"
"2369446","55"
"2466155","1"
"2488944","13"
"2565868","1"
"2892743","1"
"2909103","21"
"3052226","34"
"3055228","7"
"3056066","23"
"3056652","45"
"3105682","9"
"3110119","25"
"3213962","4"
"3216686","25"
"3218707","5"
"3219077","19"
"3219349","30"
"3219543","5"
"3411412","19"
"3604984","18"
"3644351","9"
"3821279","10"
"3825551","16"
"3929150","16"
"3963440","22"
"4042784","4"
"4616106","66"
"4835098","23"
